
[2013-05-18 07:26:05.473897] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.480754] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.490205] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.499071] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.507190] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.513837] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.520795] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.527538] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.534562] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.543317] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.550838] [SMELL] Object does not fit within bounds. (pos=(-8, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.558694] [SMELL] Object does not fit within bounds. (pos=(-7, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.566203] [SMELL] Object does not fit within bounds. (pos=(-6, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.574170] [SMELL] Object does not fit within bounds. (pos=(-5, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.582722] [SMELL] Object does not fit within bounds. (pos=(-4, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.590540] [SMELL] Object does not fit within bounds. (pos=(-3, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.597058] [SMELL] Object does not fit within bounds. (pos=(-2, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:05.603904] [SMELL] Object does not fit within bounds. (pos=(-1, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.024699] [SMELL] Object does not fit within bounds. (pos=(1366, 10), size=<rect(0, 0, 1366, 768)>)
